Date,Sales,Price,Quantity,Store,Region,Discount
01-01-2025,702,11,34,Ajio,East,15%
01-01-2025,985,10,15,Ajio,East,5%
01-01-2025,545,34,9,Ajio,North,5%
01-01-2025,2196,79,55,Ajio,South,5%
01-01-2025,1448,80,19,Amazon,East,10%
01-01-2025,976,103,16,Amazon,North,5%
01-01-2025,632,39,15,Amazon,North,5%
01-01-2025,534,42,13,Amazon,South,5%
01-01-2025,486,101,57,Amazon,South,5%
01-01-2025,1336,49,31,Amazon,West,20%
01-01-2025,1525,89,53,Amazon,West,10%
01-01-2025,1646,14,22,Amazon,West,10%
01-01-2025,1326,44,20,Flipkart,East,15%
01-01-2025,426,65,50,Flipkart,East,10%
01-01-2025,438,71,35,Flipkart,East,15%
01-01-2025,582,23,24,Flipkart,East,10%
01-01-2025,2112,21,54,Flipkart,West,20%
01-01-2025,2177,50,39,Flipkart,West,5%
01-01-2025,734,96,41,Myntra,North,20%
01-01-2025,1799,72,8,Myntra,South,15%
01-01-2025,1464,88,53,Myntra,South,15%
01-01-2025,746,72,53,Myntra,West,15%
02-01-2025,1943,111,11,Ajio,East,15%
02-01-2025,790,44,12,Ajio,South,15%
02-01-2025,2187,87,26,Ajio,South,10%
02-01-2025,2314,28,21,Ajio,West,15%
02-01-2025,813,115,37,Amazon,East,10%
02-01-2025,1324,73,50,Amazon,West,10%
02-01-2025,995,25,27,Amazon,West,10%
02-01-2025,2312,52,47,Flipkart,East,15%
02-01-2025,1437,13,49,Flipkart,North,15%
02-01-2025,1633,45,36,Flipkart,North,20%
02-01-2025,1810,56,44,Flipkart,South,15%
02-01-2025,2033,101,45,Flipkart,South,10%
02-01-2025,576,19,55,Flipkart,South,10%
02-01-2025,2336,54,12,Flipkart,West,10%
02-01-2025,765,20,48,Flipkart,West,15%
02-01-2025,1975,85,55,Myntra,East,10%
02-01-2025,1085,37,25,Myntra,East,20%
02-01-2025,1617,19,33,Myntra,North,10%
02-01-2025,1170,48,26,Myntra,South,10%
02-01-2025,632,32,8,Myntra,South,20%
02-01-2025,1345,48,29,Myntra,West,5%
03-01-2025,1693,98,22,Ajio,East,10%
03-01-2025,630,18,55,Ajio,East,10%
03-01-2025,1888,22,27,Ajio,North,10%
03-01-2025,1328,73,22,Ajio,South,10%
03-01-2025,1205,79,25,Amazon,East,20%
03-01-2025,1423,9,14,Amazon,East,15%
03-01-2025,625,109,14,Amazon,North,10%
03-01-2025,1499,100,9,Amazon,South,20%
03-01-2025,1221,80,17,Amazon,South,10%
03-01-2025,2033,14,38,Amazon,West,20%
03-01-2025,1925,11,43,Flipkart,North,15%
03-01-2025,1106,47,11,Flipkart,West,5%
03-01-2025,518,24,29,Flipkart,West,20%
03-01-2025,2326,16,25,Flipkart,West,20%
03-01-2025,894,87,24,Flipkart,West,5%
03-01-2025,695,105,41,Flipkart,West,10%
03-01-2025,1463,30,52,Flipkart,West,15%
03-01-2025,799,58,29,Myntra,East,20%
03-01-2025,787,23,9,Myntra,North,10%
04-01-2025,1328,11,50,Ajio,North,20%
04-01-2025,2327,107,34,Ajio,North,15%
04-01-2025,2241,12,56,Ajio,North,10%
04-01-2025,659,13,45,Ajio,West,10%
04-01-2025,1654,62,51,Amazon,East,15%
04-01-2025,1788,93,32,Amazon,North,15%
04-01-2025,1738,47,45,Amazon,North,10%
04-01-2025,2215,49,42,Amazon,South,15%
04-01-2025,1365,90,8,Amazon,South,10%
04-01-2025,1767,105,53,Amazon,West,20%
04-01-2025,582,91,32,Flipkart,East,10%
04-01-2025,1515,80,20,Flipkart,East,10%
04-01-2025,1319,21,27,Flipkart,North,20%
04-01-2025,2285,88,28,Flipkart,North,15%
04-01-2025,1902,24,44,Flipkart,North,10%
04-01-2025,1660,21,10,Flipkart,South,20%
04-01-2025,948,38,28,Flipkart,South,5%
04-01-2025,593,113,10,Flipkart,South,5%
04-01-2025,580,49,44,Flipkart,South,15%
04-01-2025,1662,89,45,Myntra,East,5%
04-01-2025,459,63,49,Myntra,East,10%
04-01-2025,1455,31,23,Myntra,North,15%
04-01-2025,2016,58,17,Myntra,West,20%
04-01-2025,1955,97,41,Myntra,West,15%
05-01-2025,1146,35,33,Ajio,East,15%
05-01-2025,990,100,37,Ajio,North,10%
05-01-2025,1934,93,54,Ajio,South,5%
05-01-2025,946,49,25,Ajio,South,20%
05-01-2025,491,14,48,Ajio,South,10%
05-01-2025,772,94,19,Ajio,South,5%
05-01-2025,1072,108,43,Ajio,West,5%
05-01-2025,1401,27,13,Ajio,West,20%
05-01-2025,1047,98,52,Ajio,West,20%
05-01-2025,1906,41,17,Amazon,North,10%
05-01-2025,858,87,25,Amazon,North,15%
05-01-2025,1898,81,20,Amazon,South,10%
05-01-2025,1004,39,23,Amazon,South,5%
05-01-2025,1243,53,57,Flipkart,North,15%
05-01-2025,1801,61,55,Flipkart,South,10%
05-01-2025,1568,74,55,Flipkart,South,5%
05-01-2025,1375,69,54,Flipkart,West,5%
05-01-2025,497,13,49,Myntra,West,20%
06-01-2025,2069,40,28,Ajio,East,10%
06-01-2025,882,8,14,Ajio,East,20%
06-01-2025,606,27,28,Ajio,North,5%
06-01-2025,2231,55,46,Ajio,South,15%
06-01-2025,1900,56,22,Ajio,South,10%
06-01-2025,2319,65,48,Ajio,South,15%
06-01-2025,1558,64,38,Ajio,West,5%
06-01-2025,1699,50,36,Ajio,West,15%
06-01-2025,806,16,44,Amazon,East,10%
06-01-2025,1463,73,47,Amazon,East,5%
06-01-2025,1897,104,37,Amazon,North,15%
06-01-2025,1385,116,38,Amazon,North,10%
06-01-2025,2068,76,14,Amazon,South,5%
06-01-2025,2234,14,56,Flipkart,East,20%
06-01-2025,2229,111,16,Flipkart,East,15%
06-01-2025,514,112,44,Flipkart,South,15%
06-01-2025,1328,47,42,Flipkart,South,10%
06-01-2025,1131,64,47,Flipkart,West,20%
06-01-2025,1183,61,46,Myntra,East,20%
06-01-2025,657,41,48,Myntra,North,10%
06-01-2025,1739,54,30,Myntra,North,10%
06-01-2025,1157,112,53,Myntra,North,15%
06-01-2025,891,88,12,Myntra,South,10%
06-01-2025,1096,22,51,Myntra,West,5%
06-01-2025,1770,67,50,Myntra,West,5%
07-01-2025,597,109,13,Ajio,North,5%
07-01-2025,1613,20,47,Ajio,South,10%
07-01-2025,781,18,35,Ajio,South,5%
07-01-2025,2349,18,19,Ajio,South,15%
07-01-2025,444,18,40,Ajio,West,5%
07-01-2025,1708,73,11,Ajio,West,20%
07-01-2025,2297,20,23,Ajio,West,15%
07-01-2025,1490,10,57,Ajio,West,20%
07-01-2025,1981,90,56,Amazon,East,5%
07-01-2025,1599,74,46,Amazon,East,10%
07-01-2025,684,98,55,Amazon,East,10%
07-01-2025,2002,65,56,Amazon,East,15%
07-01-2025,1753,56,46,Amazon,South,15%
07-01-2025,1717,88,25,Amazon,South,10%
07-01-2025,1147,62,35,Amazon,South,20%
07-01-2025,1865,54,45,Amazon,West,20%
07-01-2025,603,11,46,Amazon,West,15%
07-01-2025,535,10,37,Amazon,West,10%
07-01-2025,1391,52,54,Flipkart,East,5%
07-01-2025,2294,104,52,Flipkart,East,15%
07-01-2025,1101,85,46,Flipkart,East,10%
07-01-2025,2223,95,37,Flipkart,East,10%
07-01-2025,720,61,52,Flipkart,North,10%
07-01-2025,2286,101,23,Flipkart,North,5%
07-01-2025,1006,22,55,Myntra,East,5%
07-01-2025,2135,54,25,Myntra,North,5%
07-01-2025,745,14,40,Myntra,South,5%
07-01-2025,834,91,27,Myntra,South,20%
07-01-2025,543,104,42,Myntra,South,20%
08-01-2025,1561,99,43,Ajio,East,10%
08-01-2025,1911,91,55,Ajio,East,10%
08-01-2025,1780,8,15,Amazon,East,10%
08-01-2025,2319,107,33,Amazon,East,20%
08-01-2025,1907,66,28,Amazon,South,20%
08-01-2025,2073,106,49,Amazon,South,10%
08-01-2025,959,91,17,Amazon,West,15%
08-01-2025,451,16,47,Amazon,West,15%
08-01-2025,551,105,22,Amazon,West,10%
08-01-2025,2204,31,26,Flipkart,North,20%
08-01-2025,2174,108,23,Flipkart,North,5%
08-01-2025,1315,111,11,Flipkart,South,5%
08-01-2025,687,55,52,Flipkart,South,5%
08-01-2025,1248,64,10,Flipkart,West,5%
08-01-2025,537,91,54,Flipkart,West,15%
08-01-2025,1690,14,14,Flipkart,West,5%
08-01-2025,444,58,40,Myntra,East,5%
08-01-2025,1492,21,14,Myntra,South,5%
08-01-2025,2320,26,51,Myntra,West,10%
09-01-2025,1778,86,28,Ajio,East,10%
09-01-2025,801,63,37,Ajio,North,5%
09-01-2025,1139,27,26,Amazon,East,15%
09-01-2025,2072,42,44,Amazon,North,10%
09-01-2025,651,77,35,Amazon,North,20%
09-01-2025,912,24,34,Amazon,North,20%
09-01-2025,2070,57,17,Amazon,North,10%
09-01-2025,1513,65,51,Amazon,South,10%
09-01-2025,2267,85,20,Amazon,South,5%
09-01-2025,445,52,11,Amazon,South,15%
09-01-2025,1936,92,55,Amazon,South,20%
09-01-2025,647,106,33,Amazon,South,15%
09-01-2025,845,45,54,Amazon,West,5%
09-01-2025,1134,52,44,Amazon,West,5%
09-01-2025,2020,35,22,Amazon,West,10%
09-01-2025,1579,107,44,Amazon,West,10%
09-01-2025,1672,106,26,Flipkart,East,5%
09-01-2025,1402,49,41,Flipkart,East,15%
09-01-2025,1510,97,31,Flipkart,East,20%
09-01-2025,1889,51,37,Flipkart,East,20%
09-01-2025,1117,101,28,Flipkart,South,20%
09-01-2025,475,56,40,Myntra,East,10%
09-01-2025,1492,84,21,Myntra,East,10%
09-01-2025,1028,31,46,Myntra,East,15%
09-01-2025,640,64,50,Myntra,South,5%
09-01-2025,1342,113,39,Myntra,West,15%
10-01-2025,961,43,32,Ajio,East,10%
10-01-2025,1664,20,34,Ajio,East,10%
10-01-2025,1079,68,53,Ajio,North,15%
10-01-2025,1553,83,43,Ajio,South,15%
10-01-2025,1641,27,8,Ajio,South,10%
10-01-2025,455,25,32,Ajio,South,20%
10-01-2025,1155,16,34,Ajio,West,15%
10-01-2025,1329,54,9,Amazon,East,10%
10-01-2025,1468,55,41,Amazon,North,10%
